Height,Weight,Sex
146.3232413,59.861065,Female
175.6954121,77.86368697,Male
183.2161637,72.13199162,Male
184.2452685,77.54599954,Male
132.3022607,55.18849649,Female
149.8639136,66.05565459,Female
191.1730884,83.63133864,Male
135.4071744,47.01445695,Female
184.9957625,71.93582824,Male
179.9908867,65.92079489,Male
186.1618374,83.72019383,Male
177.784335,51.59443143,Male
124.5761544,49.49065937,Female
135.0845874,57.01715684,Female
161.783083,63.11811732,Female
147.1984523,74.90954714,Female
168.6195333,68.71086764,Male
180.3799948,58.5831375,Male
172.9806484,91.76506667,Male
183.2740005,83.53897404,Male
135.8408238,75.15031468,Female
177.3010401,61.54651,Male
170.228071,63.16246219,Male
141.8363614,45.4665998,Female
151.4646936,51.1065089,Female
150.2536868,56.38212115,Female
123.0070061,66.68550969,Female
170.8142259,72.87114003,Male
179.5604019,93.3795254,Male
146.7985959,58.96877805,Female
145.830298,91.71072835,Female
144.981023,70.54812663,Male
139.3907781,58.18591881,Female
182.6131284,90.55450022,Male
178.4496356,65.99284671,Male
173.649627,70.06223697,Male
149.6358087,66.96144199,Female
166.950541,68.60650747,Male
152.9447652,47.80660514,Female
170.0438094,69.52377418,Male
135.7625193,39.98973038,Female
146.4209564,50.66569887,Female
165.4572847,76.9860487,Female
159.9314963,69.20584106,Male
173.6478179,85.91706134,Male
162.2114966,53.98530301,Female
171.1970616,96.909219,Male
154.2079222,64.10437771,Male
163.8065453,76.4823852,Male
152.0791785,70.49920032,Female
173.0748152,77.17787716,Male
164.2692232,61.26559153,Male
156.7976193,68.21134945,Female
157.8895769,92.24610011,Male
180.9764798,95.59478219,Male
175.2433961,77.13018201,Male
155.754493,86.9498469,Male
180.0229055,70.90164462,Male
180.3403211,74.10095369,Male
144.4119408,54.01444259,Female
147.2221773,76.70733287,Female
152.7088563,62.79598838,Female
142.3098204,81.7159541,Male
166.3135265,88.13290343,Male
163.0913943,78.37616668,Male
167.0077238,62.09138124,Male
143.3310166,71.15222384,Female
161.3907099,75.69117549,Female
167.5388812,99.60316557,Male
169.4368352,107.3581389,Male
183.2013182,96.94715589,Male
156.8690279,53.62286242,Male
144.4131961,57.58668498,Female
150.0416855,79.01636867,Female
164.4833362,61.48739535,Male
155.0623811,79.42228181,Female
142.5393447,71.64057998,Female
176.7140956,76.14865542,Male
168.4181785,45.96840161,Female
141.8980545,64.07728905,Female
174.3396578,87.15967177,Male
166.0337181,50.68614841,Female
160.0180625,47.57437511,Female
148.0261077,49.21201967,Female
146.281581,59.47391158,Female
158.8317653,58.396218,Male
180.7420372,103.3905654,Male
