user_id,category,user_x_category_ctr
1,food,0.0
1,shoes,0.7142857142857143
1,tech,0.0
2,food,0.16666666666666666
2,shoes,0.8823529411764706
2,tech,0.06666666666666667
3,food,0.0625
3,shoes,0.8333333333333334
3,tech,0.0625
4,food,0.0
4,shoes,0.0
4,tech,0.7647058823529411
5,food,0.058823529411764705
5,shoes,0.0625
5,tech,0.8823529411764706
6,food,0.05555555555555555
6,shoes,0.0
6,tech,0.8333333333333334
7,food,0.8823529411764706
7,shoes,0.0
7,tech,0.06666666666666667
8,food,0.8333333333333334
8,shoes,0.16666666666666666
8,tech,0.25
9,food,0.9285714285714286
9,shoes,0.15789473684210525
9,tech,0.058823529411764705
10,food,0.0
10,shoes,0.05555555555555555
10,tech,0.10526315789473684
